Player,Nation,Pos,Age,Squad,Comp,Born,Player Value,cost,league_new_club,new_club,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Tomás Alarcón,CHI,MF,24,Cádiz,La Liga,1999,€1.50m,loan transfer,LaLiga2,FC Cartagena,4,2,223,2.5,0,0.8,0.4,50.0,0.0,0.0,36.4,0.0,0.0,0.0,31.2,38.0,82.1,675.2,232.8,11.2,12.8,87.5,10.8,13.6,79.4,8.0,10.0,80.0,0.0,0.8,4.4,0.4,0.0,3.6,38.0,35.2,2.8,2.0,0.4,1.2,2.4,0.0,0.8,0.4,0.4,0.0,31.2,0.0,0.0,1.6,0.8,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.0,0.8,0.4,0.4,0.8,50.0,0.4,0.4,0.0,0.4,0.8,2.0,0.8,0.0,45.2,1.2,8.0,27.2,10.0,0.4,45.2,0.0,0.0,0.0,0.0,0.0,24.8,106.8,32.4,0.8,0.0,0.0,1.2,1.6,29.6,2.4,0.8,0.4,0.4,1.6,1.2,0.0,2.4,0.8,0.0,0.0,0.0,5.6,1.2,0.4,75.0
Jordi Alba,ESP,DF,33,Barcelona,La Liga,1989,€5.00m,free transfer,MLS,Inter Miami CF,14,9,931,10.3,1,0.87,0.19,22.2,0.11,0.5,23.7,0.0,0.0,0.0,82.6,97.0,85.2,1304.9,393.5,45.2,49.2,91.9,29.5,33.9,87.1,5.83,9.03,64.5,0.29,2.52,9.51,3.11,1.07,10.3,97.0,84.5,12.2,2.82,0.39,0.49,5.05,9.42,0.0,0.0,0.0,0.0,82.6,0.29,1.75,3.98,3.59,0.19,0.1,0.1,0.0,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,1.65,1.26,0.87,0.78,0.0,1.07,2.04,52.4,0.97,0.78,0.29,0.49,0.49,2.14,1.36,0.0,103.4,1.84,18.3,55.6,30.0,2.14,103.4,0.78,0.39,50.0,0.39,50.0,62.5,256.4,139.5,2.91,1.84,0.39,0.39,0.58,75.4,9.32,0.39,0.1,0.1,0.68,0.19,0.68,5.05,1.26,0.0,0.0,0.0,6.8,0.58,0.97,37.5
Omar Alderete,PAR,DF,26,Getafe,La Liga,1996,€4.00m,€4.00m,LaLiga,Getafe CF,8,7,630,7.0,0,0.71,0.14,20.0,0.0,0.0,16.4,0.0,0.0,0.0,28.3,44.9,63.1,543.7,237.9,9.86,13.3,74.2,15.6,18.6,83.8,2.71,11.6,23.5,0.0,0.14,2.14,0.43,0.0,4.0,44.9,42.1,2.57,1.86,0.0,0.86,0.29,0.71,0.0,0.0,0.0,0.0,28.3,0.14,0.86,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.29,0.86,0.43,0.0,0.86,1.57,54.5,0.71,0.86,0.43,0.43,0.86,2.14,4.29,0.0,56.1,4.86,23.0,29.4,4.43,1.29,56.1,1.14,0.57,50.0,0.57,50.0,27.4,116.7,76.0,0.57,0.29,0.0,0.57,0.14,30.9,0.57,0.43,0.0,0.0,1.14,0.86,0.0,0.29,0.29,0.0,0.0,0.0,5.43,3.14,1.71,64.7
Ángel Algobia,ESP,MF,23,Getafe,La Liga,1999,€1.50m,free transfer,LaLiga2,Levante UD,14,9,747,8.3,0,0.36,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,36.6,44.5,82.4,643.4,123.1,16.1,18.9,85.4,15.3,17.1,89.4,4.1,6.02,68.0,0.0,0.36,2.29,0.36,0.36,2.89,44.5,42.8,1.45,1.33,0.0,0.24,0.84,0.0,0.0,0.0,0.0,0.0,36.6,0.24,0.6,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.93,0.84,1.33,0.6,0.0,1.45,2.17,66.7,0.72,1.33,0.36,0.96,0.36,2.29,0.72,0.0,52.4,0.96,12.8,32.7,7.11,0.84,52.4,0.24,0.12,50.0,0.12,50.0,27.8,133.5,60.8,0.96,0.24,0.24,1.2,0.6,34.1,0.72,0.24,0.0,0.0,2.29,0.84,0.0,0.84,0.84,0.0,0.0,0.0,5.18,0.72,1.69,30.0
Faride Alidou,GER,DFMF,21,Eint Frankfurt,Bundesliga,2001,€2.50m,loan transfer,Bundesliga,1.FC Köln,9,0,123,1.4,0,1.43,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,30.7,40.7,75.4,474.3,190.7,15.7,16.4,95.7,12.9,18.6,69.2,1.43,3.57,40.0,0.0,0.71,3.57,3.57,0.71,7.14,40.7,34.3,6.43,0.0,0.0,0.0,1.43,6.43,0.0,0.0,0.0,0.0,30.7,0.0,0.71,3.57,2.86,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.86,2.14,2.86,0.0,2.14,4.29,50.0,2.14,0.0,0.0,0.0,0.71,5.71,0.0,0.0,56.4,0.0,9.29,32.1,15.7,2.14,56.4,5.0,1.43,28.6,3.57,71.4,24.3,145.0,91.4,2.86,1.43,1.43,2.86,0.71,27.1,8.57,0.0,0.0,0.0,5.0,0.71,1.43,1.43,2.86,0.0,0.0,0.0,7.14,0.71,5.0,12.5
Carlos Álvarez,ESP,FW,19,Sevilla,La Liga,2003,€400k,free transfer,LaLiga2,Levante UD,1,0,10,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastón Álvarez,URU,DF,22,Getafe,La Liga,2000,€5.00m,€3.50m,LaLiga,Getafe CF,10,5,571,6.3,2,0.32,0.32,100.0,1.0,1.0,9.5,0.0,0.0,0.0,21.1,32.2,65.5,359.0,167.8,10.8,11.9,90.7,8.57,14.1,60.7,1.75,4.6,37.9,0.0,0.16,1.9,0.16,0.16,2.7,32.2,28.1,4.13,0.32,0.0,0.16,0.79,3.81,0.0,0.0,0.0,0.0,21.1,0.0,0.63,0.63,0.48,0.16,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.22,1.43,1.43,0.79,0.0,1.27,2.22,57.1,0.95,0.95,0.48,0.48,1.43,3.65,2.7,0.0,42.4,3.33,16.3,22.2,4.13,0.63,42.4,0.79,0.16,20.0,0.48,60.0,16.8,64.0,25.9,0.48,0.16,0.0,0.63,0.32,22.5,1.43,0.32,0.16,0.0,1.43,1.11,0.0,0.79,1.43,0.0,0.0,0.0,3.81,2.22,2.22,50.0
Daniel Amartey,GHA,DF,28,Leicester City,Premier League,1994,€12.00m,free transfer,Süper Lig,Besiktas JK,17,15,1365,15.2,0,0.2,0.13,66.7,0.0,0.0,25.2,0.0,0.0,0.0,57.5,62.8,91.5,996.8,379.9,25.2,26.8,94.1,27.8,29.3,94.8,3.82,5.53,69.0,0.0,0.33,3.42,0.07,0.0,4.08,62.8,61.7,1.05,0.79,0.13,0.13,0.0,0.26,0.0,0.0,0.0,0.0,57.5,0.07,0.13,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.12,0.39,0.72,0.33,0.07,0.66,0.79,83.3,0.13,1.25,0.79,0.46,0.53,1.64,3.82,0.0,71.8,10.5,37.1,32.2,2.63,0.33,71.8,0.33,0.13,40.0,0.13,40.0,43.7,211.2,128.0,1.18,0.66,0.0,0.46,0.26,52.1,0.33,0.07,0.0,0.0,0.46,0.2,0.0,0.0,0.39,0.0,0.07,0.0,5.53,1.91,1.51,55.8
Jordan Amavi,FRA,DF,28,Getafe,La Liga,1994,€2.00m,loan transfer,Ligue 1,Stade Brestois 29,4,1,193,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,45.7,53.1,371.0,177.1,13.3,18.6,71.8,8.57,17.1,50.0,1.43,5.24,27.3,0.0,0.0,0.95,0.0,0.0,2.38,45.7,32.9,12.9,0.48,0.0,0.0,2.86,12.4,0.0,0.0,0.0,0.0,24.3,0.0,2.38,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,1.43,0.95,1.43,0.0,0.0,0.48,1.43,33.3,0.95,1.43,0.0,1.43,1.9,3.33,3.33,0.0,56.2,3.81,15.7,31.0,10.5,0.48,56.2,0.48,0.0,0.0,0.48,100.0,19.5,110.0,57.6,1.9,1.9,0.48,0.48,0.0,20.5,2.38,0.95,0.48,0.48,0.95,0.95,0.48,2.86,0.95,0.0,0.0,0.0,7.14,3.81,1.43,72.7
Ethan Ampadu,WAL,DFMF,22,Spezia,Serie A,2000,€9.00m,€8.10m,Championship,Leeds United,16,16,1360,15.1,0,0.79,0.26,33.3,0.0,0.0,17.4,0.0,0.0,0.0,36.4,48.7,74.7,688.9,284.6,13.8,16.7,82.5,18.1,21.4,84.8,3.97,8.54,46.5,0.07,0.53,4.24,0.6,0.26,5.3,48.7,44.1,4.3,2.05,0.07,0.79,0.66,2.25,0.0,0.0,0.0,0.0,36.4,0.33,0.73,1.79,1.52,0.0,0.0,0.13,0.07,0.07,0.26,0.26,0.0,0.0,0.0,0.0,0.0,2.91,1.66,1.19,1.46,0.26,0.73,1.39,52.4,0.66,1.85,0.73,1.13,1.19,4.11,2.05,0.0,59.8,4.7,22.6,31.3,6.62,0.86,59.8,0.33,0.2,60.0,0.07,20.0,29.7,167.2,82.2,0.6,0.6,0.0,0.66,0.26,33.0,0.6,0.33,0.0,0.0,1.59,0.79,0.07,0.66,1.66,0.0,0.07,0.0,7.09,2.32,1.32,63.6
