Player,Nation,Pos,Age,Squad,Comp,Born,Player Value,cost,league_new_club,new_club,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Daniel Amartey,GHA,DF,28,Leicester City,Premier League,1994,€12.00m,free transfer,Süper Lig,Besiktas JK,17,15,1365,15.2,0,0.2,0.13,66.7,0.0,0.0,25.2,0.0,0.0,0.0,57.5,62.8,91.5,996.8,379.9,25.2,26.8,94.1,27.8,29.3,94.8,3.82,5.53,69.0,0.0,0.33,3.42,0.07,0.0,4.08,62.8,61.7,1.05,0.79,0.13,0.13,0.0,0.26,0.0,0.0,0.0,0.0,57.5,0.07,0.13,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.12,0.39,0.72,0.33,0.07,0.66,0.79,83.3,0.13,1.25,0.79,0.46,0.53,1.64,3.82,0.0,71.8,10.5,37.1,32.2,2.63,0.33,71.8,0.33,0.13,40.0,0.13,40.0,43.7,211.2,128.0,1.18,0.66,0.0,0.46,0.26,52.1,0.33,0.07,0.0,0.0,0.46,0.2,0.0,0.0,0.39,0.0,0.07,0.0,5.53,1.91,1.51,55.8
Ethan Ampadu,WAL,DFMF,22,Spezia,Serie A,2000,€9.00m,€8.10m,Championship,Leeds United,16,16,1360,15.1,0,0.79,0.26,33.3,0.0,0.0,17.4,0.0,0.0,0.0,36.4,48.7,74.7,688.9,284.6,13.8,16.7,82.5,18.1,21.4,84.8,3.97,8.54,46.5,0.07,0.53,4.24,0.6,0.26,5.3,48.7,44.1,4.3,2.05,0.07,0.79,0.66,2.25,0.0,0.0,0.0,0.0,36.4,0.33,0.73,1.79,1.52,0.0,0.0,0.13,0.07,0.07,0.26,0.26,0.0,0.0,0.0,0.0,0.0,2.91,1.66,1.19,1.46,0.26,0.73,1.39,52.4,0.66,1.85,0.73,1.13,1.19,4.11,2.05,0.0,59.8,4.7,22.6,31.3,6.62,0.86,59.8,0.33,0.2,60.0,0.07,20.0,29.7,167.2,82.2,0.6,0.6,0.0,0.66,0.26,33.0,0.6,0.33,0.0,0.0,1.59,0.79,0.07,0.66,1.66,0.0,0.07,0.0,7.09,2.32,1.32,63.6
Angeliño,ESP,DF,26,Hoffenheim,Bundesliga,1997,€12.00m,Loan fee:€1.50m,Süper Lig,Galatasaray,19,18,1597,17.7,0,0.62,0.17,27.3,0.0,0.0,20.8,0.06,0.0,0.0,36.1,54.5,66.2,673.8,261.5,15.4,18.1,85.3,15.1,21.6,69.7,5.03,11.2,44.7,0.28,2.03,2.66,1.86,1.02,3.73,54.5,40.8,12.9,1.13,0.06,0.51,6.67,10.2,1.58,0.51,0.9,0.0,36.1,0.79,1.47,3.28,2.2,0.79,0.06,0.06,0.11,0.06,0.4,0.28,0.06,0.0,0.06,0.0,0.0,1.02,0.45,0.34,0.56,0.11,0.45,0.73,61.5,0.28,1.07,0.23,0.85,0.73,1.75,1.81,0.0,62.3,1.86,15.1,28.4,19.2,1.02,62.3,0.96,0.4,41.2,0.4,41.2,28.9,114.5,51.9,0.96,0.9,0.06,1.07,0.68,35.3,5.25,0.11,0.0,0.0,0.51,1.02,0.28,6.67,0.45,0.0,0.0,0.0,4.97,0.4,0.85,31.8
Jaidon Anthony,ENG,MFFW,23,Bournemouth,Premier League,1999,€9.00m,loan transfer,Championship,Leeds United,17,7,783,8.7,3,1.95,1.15,58.8,0.18,0.3,19.9,0.23,0.0,0.0,28.9,39.5,73.0,424.0,118.4,16.8,19.2,87.4,7.82,11.1,70.1,2.3,4.14,55.6,0.0,0.92,1.72,1.49,0.57,4.02,39.5,35.5,4.02,0.92,0.23,0.57,3.56,1.72,1.26,0.8,0.0,0.11,28.9,0.0,1.61,3.1,2.3,0.34,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,2.76,1.49,1.38,0.8,0.57,0.69,2.07,33.3,1.38,1.84,0.11,1.72,0.57,3.33,1.03,0.0,52.9,1.26,10.0,19.4,24.0,2.76,52.9,2.87,0.92,32.0,1.95,68.0,30.1,169.0,70.0,2.07,2.07,0.92,1.72,1.38,33.8,5.29,0.11,0.0,0.0,0.69,0.69,0.34,3.56,1.49,0.0,0.0,0.0,5.17,0.92,1.03,47.1
Antony,BRA,FW,22,Manchester Utd,Premier League,2000,€600k,€3.20m,MLS,Portland Timbers,12,11,908,10.1,3,3.27,1.39,42.4,0.09,0.21,20.4,0.0,0.0,0.0,31.6,40.9,77.2,401.8,80.4,22.4,25.8,86.6,6.53,9.31,70.2,1.19,2.48,48.0,0.0,0.79,1.39,0.79,0.0,2.77,40.9,40.4,0.5,0.1,0.1,0.2,1.78,0.3,0.1,0.0,0.0,0.0,31.6,0.0,1.29,2.97,2.67,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.39,0.3,0.69,0.5,0.2,0.5,1.49,33.3,0.99,0.79,0.0,0.79,0.4,1.78,0.3,0.0,52.6,0.5,8.02,17.5,28.4,3.47,52.6,3.07,0.99,32.3,1.49,48.4,37.8,245.0,125.1,4.75,3.47,1.39,1.49,0.69,40.0,7.92,0.3,0.0,0.0,0.4,1.29,0.2,1.78,0.3,0.0,0.0,0.0,4.95,0.3,0.79,27.3
Antony,BRA,FW,22,Manchester Utd,Premier League,2000,€600k,€60k,Liga Portugal,FC Arouca,12,11,908,10.1,3,3.27,1.39,42.4,0.09,0.21,20.4,0.0,0.0,0.0,31.6,40.9,77.2,401.8,80.4,22.4,25.8,86.6,6.53,9.31,70.2,1.19,2.48,48.0,0.0,0.79,1.39,0.79,0.0,2.77,40.9,40.4,0.5,0.1,0.1,0.2,1.78,0.3,0.1,0.0,0.0,0.0,31.6,0.0,1.29,2.97,2.67,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.39,0.3,0.69,0.5,0.2,0.5,1.49,33.3,0.99,0.79,0.0,0.79,0.4,1.78,0.3,0.0,52.6,0.5,8.02,17.5,28.4,3.47,52.6,3.07,0.99,32.3,1.49,48.4,37.8,245.0,125.1,4.75,3.47,1.39,1.49,0.69,40.0,7.92,0.3,0.0,0.0,0.4,1.29,0.2,1.78,0.3,0.0,0.0,0.0,4.95,0.3,0.79,27.3
Houssem Aouar,FRA,MF,24,Lyon,Ligue 1,1998,€13.00m,free transfer,Serie A,AS Roma,9,6,402,4.5,1,1.33,0.67,50.0,0.17,0.33,14.1,0.0,0.0,0.0,51.1,64.7,79.0,817.3,182.2,27.6,31.1,88.6,16.4,21.3,77.1,4.67,7.11,65.6,0.22,0.89,6.89,0.67,0.0,6.44,64.7,62.9,1.78,0.67,0.22,0.67,1.11,0.22,0.67,0.0,0.0,0.0,51.1,0.0,1.56,1.78,1.56,0.0,0.0,0.22,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0,1.78,0.67,0.67,0.67,0.44,0.44,0.89,50.0,0.44,2.22,0.22,2.0,1.33,3.11,0.44,0.0,79.1,0.44,7.78,48.7,23.1,4.44,79.1,3.33,0.89,26.7,2.0,60.0,61.6,309.8,137.1,2.67,2.67,0.89,1.33,1.78,60.0,5.56,0.44,0.0,0.0,0.89,0.89,0.0,1.11,0.67,0.0,0.0,0.0,4.89,1.11,0.44,71.4
Kepa Arrizabalaga,ESP,GK,28,Chelsea,Premier League,1994,€18.00m,Loan fee:€1.00m,LaLiga,Real Madrid,14,14,1215,13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,37.5,85.6,677.3,394.8,12.7,12.9,98.9,12.5,12.6,99.4,6.67,11.9,56.3,0.0,0.0,0.37,0.0,0.0,0.0,37.5,28.3,9.19,2.15,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.15,0.22,66.7,0.07,0.0,0.0,0.0,0.0,0.15,0.59,0.0,40.4,31.6,39.9,0.44,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,23.6,112.1,67.7,0.0,0.0,0.0,0.07,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.15,0.0,0.0,0.0,1.63,0.37,0.07,83.3
Tolgay Arslan,GER,MF,32,Udinese,Serie A,1990,€1.40m,free transfer,A-League Men,Melbourne City FC,20,10,815,9.1,1,2.09,0.55,26.3,0.05,0.2,20.6,0.11,0.0,0.0,33.6,42.2,79.7,615.1,187.5,15.1,17.6,85.6,12.1,14.4,84.0,4.95,6.81,72.6,0.0,1.1,3.3,1.65,0.22,5.6,42.2,39.0,3.19,1.76,0.0,1.1,2.2,0.55,0.88,0.33,0.11,0.0,33.6,0.0,1.1,2.75,1.87,0.33,0.11,0.11,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.99,0.88,0.77,0.11,0.66,1.76,37.5,1.1,1.21,0.0,1.21,0.77,2.53,0.99,0.0,54.8,1.1,8.9,27.8,18.4,2.31,54.8,2.42,0.88,36.4,1.1,45.5,33.3,204.9,108.4,3.41,2.2,1.1,2.2,1.32,36.5,3.3,0.11,0.0,0.0,1.21,2.31,0.0,2.2,0.99,0.0,0.0,0.0,4.84,0.55,0.22,71.4
Arthur,BRA,FW,24,Fiorentina,Serie A,1998,€200k,free transfer,Premier League,Santa Lucia FC,16,6,663,7.4,3,3.24,1.22,37.5,0.08,0.22,12.2,0.0,0.14,0.14,13.4,18.6,71.7,172.0,28.6,8.78,11.1,79.3,2.7,3.24,83.3,0.68,0.95,71.4,0.14,0.95,0.27,0.68,0.0,1.49,18.6,17.2,1.49,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,13.4,0.0,0.95,2.3,1.76,0.0,0.14,0.27,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.81,0.27,0.14,0.14,0.54,0.54,0.81,66.7,0.27,0.81,0.0,0.81,0.0,0.81,0.41,0.0,32.4,0.41,1.76,10.7,20.3,6.89,32.3,1.62,0.81,50.0,0.68,41.7,17.6,81.5,24.3,0.68,0.27,0.54,4.59,1.08,23.9,5.68,0.14,0.0,0.0,1.22,0.95,0.14,0.14,0.27,0.0,0.0,0.0,1.89,2.97,3.24,47.8
Arthur,BRA,FW,24,Fiorentina,Serie A,1998,€5.00m,€7.00m,Bundesliga,Bayer 04 Leverkusen,16,6,663,7.4,3,3.24,1.22,37.5,0.08,0.22,12.2,0.0,0.14,0.14,13.4,18.6,71.7,172.0,28.6,8.78,11.1,79.3,2.7,3.24,83.3,0.68,0.95,71.4,0.14,0.95,0.27,0.68,0.0,1.49,18.6,17.2,1.49,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,13.4,0.0,0.95,2.3,1.76,0.0,0.14,0.27,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.81,0.27,0.14,0.14,0.54,0.54,0.81,66.7,0.27,0.81,0.0,0.81,0.0,0.81,0.41,0.0,32.4,0.41,1.76,10.7,20.3,6.89,32.3,1.62,0.81,50.0,0.68,41.7,17.6,81.5,24.3,0.68,0.27,0.54,4.59,1.08,23.9,5.68,0.14,0.0,0.0,1.22,0.95,0.14,0.14,0.27,0.0,0.0,0.0,1.89,2.97,3.24,47.8
Arthur,BRA,FW,24,Fiorentina,Serie A,1998,€50k,-,,Without Club,16,6,663,7.4,3,3.24,1.22,37.5,0.08,0.22,12.2,0.0,0.14,0.14,13.4,18.6,71.7,172.0,28.6,8.78,11.1,79.3,2.7,3.24,83.3,0.68,0.95,71.4,0.14,0.95,0.27,0.68,0.0,1.49,18.6,17.2,1.49,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,13.4,0.0,0.95,2.3,1.76,0.0,0.14,0.27,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.81,0.27,0.14,0.14,0.54,0.54,0.81,66.7,0.27,0.81,0.0,0.81,0.0,0.81,0.41,0.0,32.4,0.41,1.76,10.7,20.3,6.89,32.3,1.62,0.81,50.0,0.68,41.7,17.6,81.5,24.3,0.68,0.27,0.54,4.59,1.08,23.9,5.68,0.14,0.0,0.0,1.22,0.95,0.14,0.14,0.27,0.0,0.0,0.0,1.89,2.97,3.24,47.8
Santiago Ascacíbar,ARG,MF,25,Cremonese,Serie A,1997,€6.50m,€2.50m,Copa de la Liga,Club Estudiantes de La Plata,13,7,727,8.1,0,1.73,0.37,21.4,0.0,0.0,27.2,0.0,0.0,0.0,44.2,53.7,82.3,753.1,270.2,22.5,25.6,87.9,16.7,17.9,93.1,4.2,6.91,60.7,0.0,0.99,6.17,0.86,0.25,5.06,53.7,50.9,2.59,1.36,0.0,0.49,0.62,0.62,0.62,0.0,0.37,0.0,44.2,0.25,1.11,3.09,2.1,0.12,0.0,0.86,0.0,0.0,0.37,0.12,0.0,0.0,0.25,0.0,0.0,3.7,1.73,2.22,1.23,0.25,1.85,3.95,46.9,2.1,1.73,0.25,1.48,1.6,5.31,1.36,0.0,68.4,3.21,22.0,34.6,12.3,0.49,68.4,1.11,0.49,44.4,0.49,44.4,31.4,120.5,54.6,0.12,0.37,0.0,0.99,0.49,38.8,0.74,0.12,0.0,0.0,1.36,1.11,0.0,0.62,1.73,0.0,0.0,0.0,7.65,1.23,2.47,33.3
Sergio Asenjo,ESP,GK,33,Valladolid,La Liga,1989,€1.00m,-,,Without Club,5,5,450,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,36.2,66.9,743.2,533.6,3.6,3.6,100.0,12.0,12.4,96.8,8.2,19.6,41.8,0.0,0.0,0.6,0.0,0.0,0.0,36.2,22.8,13.4,3.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,38.6,31.6,38.6,0.0,0.0,0.0,38.6,0.0,0.0,0.0,0.0,0.0,17.4,61.8,30.8,0.0,0.0,0.0,0.2,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
